episode,steps,reward_0,reward_1,reward_2,collisions_0,collisions_1,collisions_2
187,2,-0.33769164718622541,-50.337691647186226,0.35560276886637621,0.0,0.0,0.0
188,15,-0.2523907143409051,-0.2523907143409051,-6.5624520633132022,0.0,0.0,0.0
189,82,1.0150423037945902,2.2345544989165416,-2.5276848332077191,0.0,2.0,2.0
190,5,-0.29752680605988518,-20.297526806059885,0.32374802402231995,0.0,0.0,0.0
191,64,-0.19931535207606807,-0.19931535207606807,-1.490144623797262,0.0,0.0,0.0
192,22,-0.22390194822394516,-0.22390194822394516,-4.5468972756358816,0.0,0.0,0.0
193,4,-0.18248184069264567,-0.18248184069264567,-26.242489007823977,0.0,0.0,0.0
194,71,-0.16264555563473074,-1.5710962598600828,0.7388787967340007,0.0,0.0,0.0
195,5,-20.372085620938954,-0.3720856209389532,-1.3445196788922813,0.0,0.0,0.0
196,8,-0.2171027124914976,-0.2171027124914976,-13.458015999885593,0.0,0.0,0.0
197,83,-1.4277953563332904,-0.22297607922485643,0.72570782599851047,0.0,0.0,0.0
198,4,-0.1208804524919689,-0.1208804524919689,-25.862968027932268,0.0,0.0,0.0
199,20,-0.1681532764650332,-5.1681532764650324,0.19192906635245988,0.0,0.0,0.0
200,5,-0.20278614753394408,-20.202786147533946,0.21997188489872169,0.0,0.0,0.0
201,9,-0.24897522398875338,-0.24897522398875338,-11.32047845866135,0.0,0.0,0.0
202,40,-0.29121277079064573,-0.29121277079064573,-2.5161437013119352,0.0,0.0,0.0
203,1,-0.2658162598891895,-0.2658162598891895,-101.74030729651908,0.0,0.0,0.0
204,26,-0.13595255153823874,-3.982106397692085,0.15369408528606465,0.0,0.0,0.0
205,20,-0.20006004173881942,-5.2000600417388192,0.21705340264326561,0.0,0.0,0.0
206,6,-0.25379692033047974,-16.920463586997148,0.29338973062357526,0.0,0.0,0.0
207,25,-0.163906923706511,-0.163906923706511,-3.9689298021532822,0.0,0.0,0.0
208,40,-0.21313613852111798,-0.21313613852111798,-2.3965208819013628,0.0,0.0,0.0
209,11,-0.31094652761502006,-0.31094652761502006,-9.4577408360707214,0.0,0.0,0.0
210,89,6.6361058531396546,5.5125103475216761,-6.6119549015203116,5.0,1.0,6.0
211,3,-33.600334661118978,-0.26700132778564517,0.28712713594300437,0.0,0.0,0.0
212,6,-16.934286071161551,-0.26761940449488381,0.29855112924902621,0.0,0.0,0.0
213,24,-0.20571281942120137,-0.20571281942120137,-4.3266301561601868,0.0,0.0,0.0
214,2,-0.32742271441708581,-0.32742271441708581,-51.667333597899528,0.0,0.0,0.0
215,14,-0.20682554468064313,-7.3496826875377854,3.0806101831867632,0.0,0.0,0.0
216,62,-0.2112723331261494,-1.8241755589326012,1.5236066415638618,0.0,0.0,0.0
217,37,-0.12361610546761151,-2.8263188081703143,0.15215169587768473,0.0,0.0,0.0
218,17,-6.0751381646244011,-0.19278522344793078,0.20795790965859626,0.0,0.0,0.0
219,6,-16.818810210103951,-0.15214354343728351,0.18661836611512064,0.0,0.0,0.0
220,2,-50.242866858167048,-0.24286685816704756,0.24906423229061983,0.0,0.0,0.0
221,4,-0.24406203530468951,-25.24406203530469,0.26330735045596898,0.0,0.0,0.0
222,23,-4.5005571576024463,-0.15273107064592439,0.1283823045243675,0.0,0.0,0.0
223,47,-0.24399080830333816,-2.3716503827714228,0.26581956890746083,0.0,0.0,0.0
224,53,-0.20312207578538716,-0.20312207578538716,-1.7508950029242583,0.0,0.0,0.0
225,10,-0.21907176432660513,-10.219071764326603,0.23760247965583514,0.0,0.0,0.0
226,9,-0.23730492620040491,-0.23730492620040491,-11.388919941205296,0.0,0.0,0.0
227,19,-0.23950476781159524,-0.23950476781159524,-3.1285303512997187,0.0,0.0,0.0
228,30,-3.6375624604840611,-0.30422912715072747,1.4741078231969889,0.0,0.0,0.0
229,4,-0.20948379553457597,-25.209483795534574,0.22140579475206024,0.0,0.0,0.0
230,3,-33.667347035583866,-0.33401370225053401,0.38480852220642897,0.0,0.0,0.0
231,31,-0.26489544169776325,-0.26489544169776325,-1.9983707639895574,0.0,0.0,0.0
232,6,-16.754835890260662,-0.088169223593994261,0.1072602141213264,0.0,0.0,0.0
233,10,-10.236623388558014,-0.23662338855801432,0.20598486735641891,0.0,0.0,0.0
234,5,-0.37916297548156769,-20.379162975481567,-0.84436742741711512,0.0,0.0,0.0
235,3,-0.065975134201994315,-0.065975134201994315,-34.499619471289407,0.0,0.0,0.0
236,22,-0.15354970066932816,-0.15354970066932816,-4.5400028322269117,0.0,0.0,0.0
237,3,-0.33924349590773417,-0.33924349590773417,-34.959485101850831,0.0,0.0,0.0
238,3,-0.27938178809338182,-33.612715121426717,0.31273376708096029,0.0,0.0,0.0
239,96,1.9207016578711842,2.9623683245378505,-2.9279689169816354,1.0,2.0,3.0
240,2,49.777224379990315,49.777224379990315,-101.81955534092478,1.0,0.0,1.0
241,57,-0.098064852500654026,-1.8524508174129348,0.12066562559402938,0.0,0.0,0.0
242,11,-0.31463659474391453,-0.31463659474391453,-9.3164006976448928,0.0,0.0,0.0
243,7,-14.539923963049917,-0.25420967733563182,0.26527319385427173,0.0,0.0,0.0
244,122,0.67942917554582916,0.67942917554582916,-1.4938061135953424,0.0,1.0,1.0
245,19,-5.3910829236307709,-0.12792502889392932,2.2525654964669442,0.0,0.0,0.0
246,7,-0.14091596762608466,-0.14091596762608466,-14.740405186810831,0.0,0.0,0.0
247,4,-0.29483937200416466,-0.29483937200416466,-25.427607436932359,0.0,0.0,0.0
248,20,4.8309118214796385,4.8309118214796385,-9.9536432736503677,1.0,0.0,1.0
249,12,-0.10739844722994284,-8.4407317805632758,0.12409712802846651,0.0,0.0,0.0
250,2,-50.222989678325213,-0.22298967832521055,0.23716558429815454,0.0,0.0,0.0
251,23,-0.17420505918493795,-4.5220311461414591,0.20990047567785891,0.0,0.0,0.0
252,4,49.938062113944973,49.938062113944973,-76.264306952492575,0.0,2.0,2.0
253,31,-3.4188531987092654,-0.19304674709636213,1.5046924274687181,0.0,0.0,0.0
254,3,-0.39236215826510407,-0.39236215826510407,-34.542417789008944,0.0,0.0,0.0
255,24,-4.4259681148323047,-0.25930144816563844,0.29735352309067059,0.0,0.0,0.0
256,80,3.6628054222029647,3.6628054222029647,-4.9265764057078485,2.0,1.0,3.0
257,20,-5.1783331057425599,-0.17833310574255964,0.21422453599682822,0.0,0.0,0.0
258,48,-0.15961654173884612,1.9237167915944873,-1.8953269678948441,0.0,1.0,1.0
259,4,-25.337274231007015,-0.33727423100701559,0.36005412233252665,0.0,0.0,0.0
260,4,-0.21800658680985224,-0.21800658680985224,-25.833548087290051,0.0,0.0,0.0
261,15,-0.14363364684088004,-0.14363364684088004,-4.173667260093036,0.0,0.0,0.0
262,19,-5.4581944398968396,-0.19503654515999722,0.21569413330038315,0.0,0.0,0.0
263,22,-4.7668421659176614,-0.22138762046311583,0.24996096409551904,0.0,0.0,0.0
264,9,-0.20631436487988355,-11.317425475990994,0.21597504193090122,0.0,0.0,0.0
265,69,2.6938524441212537,2.6938524441212537,-4.1937905339828827,2.0,0.0,2.0
266,5,-0.22437183566427774,-20.224371835664279,0.25930560568262795,0.0,0.0,0.0
267,4,-0.084218149065591552,-0.084218149065591552,-25.959726437353225,0.0,0.0,0.0
268,26,-0.24096232606075493,-4.0871161722146008,0.2580763827634065,0.0,0.0,0.0
269,17,-0.161454639018518,-0.161454639018518,-6.0152065982091543,0.0,0.0,0.0
270,19,-0.30739510365108158,-0.30739510365108158,-5.2043583428950786,0.0,0.0,0.0
271,5,-20.153422929939072,-0.15342292993907095,0.18573348642247789,0.0,0.0,0.0
272,30,3.1455501375362056,6.4788834708695386,-6.4533564788243289,2.0,0.0,2.0
273,26,-0.20509077960157773,-0.20509077960157773,-2.3167630210010266,0.0,0.0,0.0
274,5,-0.2124713637061165,-0.2124713637061165,-20.891965225101597,0.0,0.0,0.0
275,6,-0.32669178408557098,-0.32669178408557098,-17.42148930176014,0.0,0.0,0.0
276,13,-7.8048653060186686,-0.11255761371097607,0.14312149086089906,0.0,0.0,0.0
277,46,-0.15820049355761362,-0.15820049355761362,-2.0952842385163759,0.0,0.0,0.0
278,40,-2.6889902935950167,-0.18899029359501668,0.21594218668162055,0.0,0.0,0.0
279,9,-0.29712972764663603,-11.408240838757747,0.30975281784894626,0.0,0.0,0.0
280,34,-0.17550673818942969,-0.17550673818942969,-2.9033434745943754,0.0,0.0,0.0
281,24,-0.22002351406630216,-0.22002351406630216,-4.0787890355239211,0.0,0.0,0.0
